Quel est le profil cible du module 'Plaidoyer v2' ?,Le citoyen ou la citoyenne militant·e.
À qui s'adresse principalement le module 'Audit' ?,Aux développeurs et développeuses.
Quelle est la fonction du module 'Anarcho-Kernel' ?,"Fournir un cadre politique, des références et une auto-critique."
"Dans la stratégie du projet, que signifie la 'Piste A : FUSION' ?",Intégrer tous les modules dans un seul outil avec des onglets.
Quel est l'avantage principal de la 'Piste B : ÉCOSYSTÈME' ?,Plusieurs outils interconnectés qui fonctionnent de manière autonome.
Quel outil sert de 'cockpit de la résistance' pour orchestrer l'écosystème ?,Le Hub Central.
Où sont stockées les données partagées entre les modules HTML autonomes ?,Dans le localStorage du navigateur.
Quelle est la clé de stockage partagée utilisée par les modules ?,plaidoyer_ecosystem
Quels sont les deux types de licences recommandés pour le projet Plaidoyer ?,AGPL-3.0 pour le code et CC BY-SA 4.0 pour les contenus.
Quelle forme juridique est choisie pour le projet dans la 'Politique du Nougat' ?,Une AISBL de droit belge.
"Dans le modèle économique du projet, quel pourcentage est alloué à la structure ?",40 % des revenus.
"Selon la boucle de l'ARG Citoyen, que signifie l'équation 'Jouer' ?",Jouer est égal à agir dans le monde réel.
Quels sont les trois niveaux d'indicateurs surveillés par l'ARG ?,"Micro (santé personnelle), Méso (vitalité collective) et Macro (impact systémique)."
Quel module est conçu pour faciliter l'envoi massif de messages de plaidoyer depuis son canapé ?,V!VE la FLEMME.
Combien de contacts pré-chargés contient le module de diffusion massive ?,96 contacts.
Quel est le secret du 'carton mondial' d'un projet selon le diagnostic ?,"L'anglais, la communauté (Discord) et la vidéo."
"Dans la simulation de propagation, que représente la variable $K$ ?","Le coefficient viral, soit le nombre de personnes converties par utilisateur."
Quelle métaphore culinaire est utilisée pour la charte éthique et juridique du projet ?,Le Nougat.
"Selon Irène Pereira, quel ouvrage est le troisième plus cité au monde en sciences humaines ?",Pédagogie des opprimés de Paulo Freire.
Dans quelle ville du Brésil est né Paulo Freire ?,Récife.
Quel événement historique a marqué l'enfance de Freire en 1929 ?,La grande crise économique mondiale.
Quelle profession Paulo Freire a-t-il exercée avant de se consacrer à la pédagogie ?,Avocat.
Quel exploit pédagogique a eu lieu à Angicos en 1963 ?,L'alphabétisation de 300 travailleurs en 40 heures.
Pourquoi Paulo Freire a-t-il dû s'exiler du Brésil en 1964 ?,À cause du coup d'État militaire.
Dans quel pays Freire a-t-il rédigé 'La Pédagogie des opprimés' en 1968 ?,Au Chili.
Où Freire a-t-il travaillé à Genève entre 1970 et 1980 ?,Au Conseil œcuménique des Églises (COE).
Quelle est la principale distinction entre la pédagogie de Freire et l'Éducation nouvelle ?,La priorité donnée à la transformation sociopolitique sur la transformation pédagogique.
Comment Freire définit-il la relation entre l'éducation et la société ?,"L'éducation change les êtres humains qui, à leur tour, changent la société."
"Selon Freire, quel est le danger de considérer la pédagogie comme une simple méthode technique ?",Cela dépolitise l'acte éducatif et réduit l'humain à un objet.
Quel terme désigne la lutte contre la transformation de l'humain en objet ?,La lutte contre la réification.
"Dans la vision de Freire, que doit devenir l'opprimé par rapport à sa propre histoire ?","Le sujet de son histoire, et non un objet."
Qu'est-ce que l'ALE selon le manifeste de l'EAEA ?,L'éducation et l'apprentissage des adultes (Adult Learning and Education).
Quel est l'objectif ultime de l'ALE selon le manifeste ?,Assurer que les adultes puissent participer pleinement à la société tout au long de leur vie.
L'ALE est considérée comme un droit humain et un _____.,Bien commun.
Qu'est-ce que l'effet 'Matthew' (Matthieu) dans le domaine de l'éducation ?,La tendance des personnes déjà éduquées à bénéficier de plus d'opportunités d'apprentissage.
Comment l'ALE contribue-t-elle à la paix et à la démocratie ?,En développant la pensée critique et en créant des espaces sûrs pour la citoyenneté active.
Quel est le rôle de l'ALE face au changement climatique ?,Fournir les compétences et la créativité nécessaires pour de nouveaux modes de vie durables.
"Selon le manifeste, quel est l'impact de l'apprentissage sur la santé ?","Il améliore la confiance en soi, la santé mentale et le bien-être général."
Quels sont les trois domaines clés des compétences de vie ?,"La littératie, les compétences professionnelles et l'éducation populaire/citoyenne."
Pourquoi l'ALE est-elle cruciale pour la transition numérique ?,Pour éviter l'exclusion des 44 % d'adultes européens sans compétences numériques de base.
Comment l'ALE favorise-t-elle le vieillissement actif ?,En maintenant les compétences cognitives et les contacts sociaux chez les seniors.
Quelle conférence internationale a abouti au 'Cadre d'action de Marrakech' en 2022 ?,CONFINTEA VII.
Quel est le premier principe du Socle européen des droits sociaux ?,"L'éducation, la formation et l'apprentissage tout au long de la vie."
Définition : Science ouverte,Mouvement rendant la recherche et les données scientifiques accessibles à tous les niveaux de la société.
Quand est née la science ouverte avec l'apparition des revues académiques ?,Au XVIIe siècle.
Quels sont les deux piliers de l'UNESCO pour la science ouverte ?,L'accès ouvert aux connaissances et l'ouverture des données.
Qu'est-ce que l' 'Open Access' dans le contexte scientifique ?,Le libre accès aux publications scientifiques sans barrière financière.
À quoi servent les 'Open Research Data' ?,À permettre la consultation et la réutilisation des données brutes de la recherche.
Quel outil permet la conservation pérenne et ouverte des codes source de recherche ?,Software Heritage.
Qu'est-ce que l' 'Open Peer Review' ?,L'évaluation par les pairs où les noms des rapporteurs ou les rapports sont publics.
Comment appelle-t-on l'implication du public non scientifique dans la recherche ?,Les sciences participatives (Citizen Science).
Quel est le nom de la loi française de 2016 favorisant la science ouverte ?,La loi pour une République numérique (loi Lemaire).
Quel est le délai d'embargo pour un article en sciences de la vie selon la loi Lemaire ?,6 mois.
Quel est le délai d'embargo pour un article en sciences humaines selon la loi Lemaire ?,12 mois.
Quel pourcentage de financement public est nécessaire pour appliquer la loi Lemaire sur un article ?,Au moins 50 %.
Qu'est-ce que le 'PNSO' en France ?,Le Plan National pour la Science Ouverte.
Quel est l'avantage principal de la science ouverte pour les chercheurs ?,Une augmentation du taux de citations et une meilleure visibilité des travaux.
Quel est le frein historique majeur au libre accès scientifique ?,Les intérêts commerciaux des maisons d'édition basés sur l'abonnement.
Quel éditeur célèbre s'oppose souvent à l'accès ouvert immédiat ?,Elsevier (ou Wiley).
Qu'est-ce que la 'littératie financière' dans le cadre de l'ALE ?,La capacité à gérer son argent et à utiliser les services de conseil financier.
Concept : Thèmes-générateurs,Points de départ de la méthode de Freire basés sur les préoccupations réelles des apprenants.
Quel mouvement au Brésil se réclame aujourd'hui de l'éducation populaire de Freire ?,Le mouvement des paysans sans terres (MST).
Quelle organisation mondiale a décerné un prix à Freire en 1986 ?,L'UNESCO (Prix de l'éducation pour la paix).
"Selon l'EAEA, que signifie 'Citizen Diplomacy' ?",La coopération transfrontalière entre citoyens pour résoudre des défis globaux.
Quel module du projet Plaidoyer simule l'impact d'une campagne ?,Le simulateur de propagation virale.
Quels sont les 4 archétypes d'utilisateurs dans l'onboarding de l'ARG ?,"Observateur, Analyste, Activiste et Pédagogue."
"Dans la 'Politique du Nougat', que représente le 'Miel' ?",La douceur et la bienveillance du projet.
Quel est le rôle du 'Journal' dans l'ARG Citoyen ?,Documenter les actions réelles pour générer de l'XP.
"Selon le manifeste EAEA, quel pourcentage d'adultes européens manque de compétences numériques ?",44 %.
Comment appelle-t-on le dépôt de manuscrits avant évaluation par les pairs ?,Les preprints.
Quelle plateforme française centralise les données de recherche ouvertes ?,Recherche Data Gouv.
Quel est l'un des risques de la science ouverte mentionné dans les limites ?,L'usage mafieux ou terroriste de certaines données sensibles.
Qui est Irène Pereira ?,L'auteure de la préface déconstruisant l'image de Paulo Freire.
Quel concept de Freire s'oppose à l' 'avoir-plus' ?,L'être-plus (la réalisation de l'humanité).
"Selon le manifeste ALE, qu'est-ce que le ' Matthew effect ' ?",Le fait que l'éducation profite davantage à ceux qui sont déjà les plus éduqués.
Terme : Écopédagogie,Courant pédagogique visant à développer une conscience planétaire des enjeux écologiques.
Quelle est la fonction du terminal intégré dans le Hub Central ?,Afficher le manifeste complet avec une esthétique hacker.
Qu'est-ce qu'une 'PWA' dans le contexte du module Landing-virus ?,"Une Progressive Web App, installable sur mobile."
Quel est l'objectif du projet 'Digital Village' à Vienne ?,Offrir une assistance numérique de proximité dans les immeubles municipaux.
"Dans le modèle économique, à quoi servent les 30 % 'Amandes' ?",À financer les projets partagés et les collectifs.